,max_drawdown
sim_1,-0.3171168353054411
sim_2,-0.13693793056389547
sim_3,-0.3389266655830693
sim_4,-0.25928448830985884
sim_5,-0.12879742529232863
sim_6,-0.15556669311057847
sim_7,-0.15843830801861158
sim_8,-0.30842507828205945
sim_9,-0.2452338388954568
sim_10,-0.2099161146034857
sim_11,-0.2919650850177833
sim_12,-0.3951813876289172
sim_13,-0.2461131493496289
sim_14,-0.16634186858075162
sim_15,-0.22688934151805662
sim_16,-0.3163376421731836
sim_17,-0.19530610020708916
sim_18,-0.17742613045227618
sim_19,-0.28637115935065427
sim_20,-0.3413945157588031
sim_21,-0.19103319801311025
sim_22,-0.19705788032427163
sim_23,-0.20980765576075067
sim_24,-0.27578054863737245
sim_25,-0.09564574757924649
sim_26,-0.31463347911341655
sim_27,-0.1281101001132332
sim_28,-0.15668940895889183
sim_29,-0.21847862726890832
sim_30,-0.14801758359610673
sim_31,-0.13278967225285265
sim_32,-0.2926453270536761
sim_33,-0.4048709981642562
sim_34,-0.20055774236590795
sim_35,-0.26604132571744443
sim_36,-0.14945130771109916
sim_37,-0.3822947935863007
sim_38,-0.33286478628657923
sim_39,-0.22859793095459713
sim_40,-0.20653643724462678
sim_41,-0.6265149389886575
sim_42,-0.2837625436386899
sim_43,-0.3491838830531723
sim_44,-0.2970248205544017
sim_45,-0.46515898432868663
sim_46,-0.2116487729177554
sim_47,-0.2334912107815762
sim_48,-0.13588419503956028
sim_49,-0.20301006423338896
sim_50,-0.4193736002339358
sim_51,-0.3152134687537509
sim_52,-0.27596257548151726
sim_53,-0.21994738725959762
sim_54,-0.16265120494861984
sim_55,-0.23647639752283134
sim_56,-0.3142261509106764
sim_57,-0.1754181008764064
sim_58,-0.2810079057380571
sim_59,-0.2136432568142379
sim_60,-0.2073410280673027
sim_61,-0.16729107241874308
sim_62,-0.20232012491960072
sim_63,-0.22189034612711112
sim_64,-0.18797280297117946
sim_65,-0.2210083104573224
sim_66,-0.14415909739019583
sim_67,-0.15610996738496785
sim_68,-0.22547601802502315
sim_69,-0.25171623464517534
sim_70,-0.2452172093786612
sim_71,-0.433998489287
sim_72,-0.41858271827269766
sim_73,-0.23393629151832707
sim_74,-0.22683429261286914
sim_75,-0.22800745866471916
sim_76,-0.6099314631960142
sim_77,-0.23328043041353252
sim_78,-0.15404418095079508
sim_79,-0.25434416746455035
sim_80,-0.21410606858518155
sim_81,-0.24961427131894875
sim_82,-0.2108182838506114
sim_83,-0.2733604746329169
sim_84,-0.2629362613315762
sim_85,-0.1986579945081547
sim_86,-0.11389379056731563
sim_87,-0.38167888126818583
sim_88,-0.13407861740893523
sim_89,-0.13946956133443078
sim_90,-0.46777278259596466
sim_91,-0.4898959457340105
sim_92,-0.18995834353269525
sim_93,-0.3162479576455295
sim_94,-0.10569272766314342
sim_95,-0.46218417798886124
sim_96,-0.3144273517633842
sim_97,-0.2990770595001384
sim_98,-0.2834001742681822
sim_99,-0.6270349049927122
sim_100,-0.3445284454516401
sim_101,-0.19462720549655965
sim_102,-0.41312912069433383
sim_103,-0.2765678235490451
sim_104,-0.33520944388371765
sim_105,-0.2694363433640993
sim_106,-0.2072616996605292
sim_107,-0.3397144332075984
sim_108,-0.44613595384973825
sim_109,-0.19471315342293616
sim_110,-0.37801250670520625
sim_111,-0.3497897089215888
sim_112,-0.1751214449208487
sim_113,-0.3513147303630457
sim_114,-0.2607458213637085
sim_115,-0.21955505282004062
sim_116,-0.2514080665630912
sim_117,-0.2208661947630074
sim_118,-0.18056741452361558
sim_119,-0.2971121681558577
sim_120,-0.1891420239041821
sim_121,-0.45082778574736304
sim_122,-0.2811691067379948
sim_123,-0.2885041877773562
sim_124,-0.16057101905656368
sim_125,-0.5033795542127169
sim_126,-0.3691592853796858
sim_127,-0.24315041859655173
sim_128,-0.12618472255379076
sim_129,-0.2629201175479271
sim_130,-0.27351412391830665
sim_131,-0.25609480055811507
sim_132,-0.14545980355651822
sim_133,-0.22703966516685192
sim_134,-0.231710006957068
sim_135,-0.30659853117142866
sim_136,-0.38839539298179016
sim_137,-0.1685025701900721
sim_138,-0.1438210316752172
sim_139,-0.24746269858168402
sim_140,-0.2761404043205117
sim_141,-0.3422938054351189
sim_142,-0.3452321435882988
sim_143,-0.1914100316460544
sim_144,-0.3389553060328131
sim_145,-0.4828322529554515
sim_146,-0.33218479261562006
sim_147,-0.1954834008269588
sim_148,-0.3930760840679438
sim_149,-0.15393775472315296
sim_150,-0.18945610744065267
sim_151,-0.38912302144809285
sim_152,-0.25158231309085755
